
Host: login

Timers On : Mon Apr 18 15:12:33 2022
Timers Off: Mon Apr 18 15:12:35 2022

Wall Time:        2.20 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: login

Timers On : Mon Apr 18 15:16:47 2022
Timers Off: Mon Apr 18 15:16:58 2022

Wall Time:       11.40 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Libint2ERI::Libint2ERI              :      0.300u      0.017s      0.524w     58 calls
JK: (A|mn)                          :      0.033u      0.000s      0.051w      8 calls
JK: (A|Q)^-1/2                      :      0.067u      0.017s      0.187w      8 calls
JK: (Q|mn)                          :      0.000u      0.000s      0.001w      8 calls
HF: Form core H                     :      0.017u      0.000s      0.016w     10 calls
HF: Form S/X                        :      0.017u      0.000s      0.051w     10 calls
HF: Guess                           :      0.000u      0.000s      0.001w     10 calls
HF: Form G                          :      0.067u      0.000s      0.036w     53 calls
JK: D                               :      0.000u      0.000s      0.001w     70 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     70 calls
JK: JK                              :      0.083u      0.000s      0.044w     70 calls
JK: J                               :      0.033u      0.000s      0.004w     70 calls
JK: J1                              :      0.000u      0.000s      0.002w     72 calls
JK: J2                              :      0.017u      0.000s      0.002w     72 calls
JK: K                               :      0.050u      0.000s      0.036w     66 calls
JK: K1                              :      0.050u      0.000s      0.033w     78 calls
JK: K2                              :      0.000u      0.000s      0.003w     68 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     70 calls
HF: Form F                          :      0.000u      0.000s      0.001w     53 calls
HF: DIIS                            :      0.067u      0.000s      0.056w     53 calls
DIISManager::add_entry              :      0.017u      0.000s      0.005w     45 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.007w     45 calls
bMatrix setup                       :      0.000u      0.000s      0.003w     45 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.001w     45 calls
New vector                          :      0.000u      0.000s      0.002w     45 calls
HF: Form C                          :      0.100u      0.000s      0.065w     53 calls
